;Ano;Semana;Ideal, valor;Meta ideal;Meta ajustada;Semanal, valor;Recomendada, valor;vendas realizadas (bandejas);total de conversões;Equiv. product line;Conversões + Equiv. Prod. Line;meta de conversões;Dif. Meta/conversões;eficiência de conversão;% meta de vendas;% valor ideal;var. % movimento;A$%  (total -S);B$%  (total -S);D$% (total-S);F$%  (total -S);K$%  (total -S);P$%  (total-S);S$%  (total -S);$%  (Total-S);predicao floresta
48;2023;22;45,35;232;981;10,709343283582088;13,716666666666665;980;39;39,684973088083225;78,68497308808323;50,480310372428136;28,20466271565509;1,2808130529997055;0,9993160323884529;0,23614869423554768;0,055615266112242816;0,02386218286219414;0,6818040369032347;0,09990887055166896;0,11574710289415566;0,036047204936160065;0,04263060185258667;0,04218914996637412;1,0421891499663742;38,65
49;2023;23;45,35;232;1032;10,183500473036897;14,153030303030302;1050;33;41,734175898089546;74,73417589808955;43,84530755387928;30,888868344210266;1,3898001321356666;1,017706821011621;0,22455348341867468;0,07134789395128595;0,027342981081376408;0,6319286727367799;0,1345265929932259;0,12704555536084167;0,03030730908322644;0,04884888874454973;0,04138081422628814;1,0413808142262881;32,87
50;2023;24;45,35;232;1020;10,298216374269007;12,247272727272726;1020;33;56,12622409490089;89,12622409490089;46,583290161561244;42,54293393333965;1,1892615460939049;1,000484506968977;0,22708305125179729;-0,02835379917437287;0,0291151075562385;0,6346183249779593;0,12292830927502488;0,12979423763300804;0,03334719585085064;0,050196824706918525;0,05820000836352719;1,058200008363527;34,17
51;2023;25;45,35;232;1004;10,46601931330472;13,40185185185185;855;27;10,892393429379569;37,89239342937957;64,0229602310005;-26,13056680162093;1,280510903970434;0,8524323791606282;0,23078322631322426;-0,1613454431173046;0,01980491309299333;0,6542875735422671;0,10792117339522053;0,13021654080410075;0,03881147994792814;0,04895831921749009;0,012891173560765046;1,0128911735607649;32,74
52;2023;26;45,35;232;990;10,615456273764257;12,881538461538462;1006;52;33,48136819122486;85,48136819122486;47,94627331098167;37,53509488024319;1,2134700694283627;1,016332042586671;0,23407841838509938;0,17564760130331497;0,03406414305947154;0,6804844286720064;0,11819097217976207;0,09831323310729916;0,021737404162015195;0,04720981881944567;0,034421510729615155;1,034421510729615;47,13
53;2023;27;45,35;232;1021;10,290008857395923;13,323400000000001;1115;50;28,47422233163646;78,47422233163647;38,2831624767251;40,191059854911366;1,2947899447553763;1,0926634188540032;0,22690206962284284;0,10876965868517863;0,025986377792668887;0,6808450966787932;0,1226106513659324;0,10062604813702188;0,020697028618270188;0,04923479740731347;0,026191980729832077;1,026191980729832;31,93
54;2023;28;45,35;232;1015;10,35205009276438;13,320344827586208;1003;29;19,609642358849086;48,60964235884909;48,203787251582604;0,40585510726648266;1,2867349663325658;0,9886668864242456;0,22827012332446261;-0,10049437185517768;0,023465304496978517;0,6623869840375087;0,13129786573738284;0,12021933738115187;0,020885103973764228;0,04174540437321377;0,019930782121052256;1,019930782121052;31,44
55;2023;29;45,35;232;1013;10,372683851402577;11,868771929824561;1306;57;28,343676931814112;85,34367693181412;25,315210811541473;60,02846612027264;1,1442334597154125;1,2892403538180182;0,22872511248958274;0,3014494532028548;0,022191403246197183;0,6668051223640534;0,13895474189001253;0,11125032530668161;0,021377622119620677;0,03942078507343455;0,022184108360595832;1,0221841083605958;28,54
56;2023;30;45,35;232;1062;9,892254663422547;12,511470588235293;1244;34;44,670860734303616;78,67086073430362;28,980832077285307;49,69002865701831;1,2647744133091843;1,1722899597230607;0,21813130459586652;-0,046729340609204;0,0206759752791161;0,6685059601354754;0,14188497595191804;0,10076676602159426;0,015248848064786357;0,05291747454710993;0,0372163797977038;1,0372163797977039;28,87
57;2023;31;45,35;232;1032;10,178948412698414;13,196981132075473;998;53;4,519130870396612;57,51913087039661;48,720882768678294;8,798248101718315;1,2964974963044327;0,9672131981872768;0,22445310722598488;-0,1982437590091956;0,02923803202646932;0,636196912694038;0,1686937269423372;0,10685541948754691;0,01811469685479223;0,04090121199481641;0,004548034129122396;1,0045480341291226;52,8
